basicData/name;basicData/title;geoData/address;geoData/zipcode;geoData/country;geoData/latitude;geoData/longitude;geoData/subAdministrativeArea
Galería Maisterravalbuena;Galería Maisterravalbuena;del Doctor Fourquet , 6;28012;Spain;40.408698761768;-3.695767521858;Madrid
La Fresh Gallery;La Fresh Gallery;Conde de Aranda , 5;28001;Spain;40.421860362045;-3.687538504601;Madrid
Galería Leandro Navarro;Galería Leandro Navarro;Amor de Dios, 1;28014;Spain;40.413386600000;-3.698134000000;Madrid
Javier López & Fer Francés;Javier López & Fer Francés;Guecho, 12 B;28023;Spain;40.472340000000;-3.813980000000;Madrid
Instituto Iberoamericano de Finlandia;Instituto Iberoamericano de Finlandia;de Augusto Figueroa, 24;28004;Spain;40.422047300000;-3.697553800000;Madrid
Instituto de México en España;Instituto de México en España;de San Jerónimo, 46;28014;Spain;40.416045000000;-3.697390400000;Madrid
Galería Inés Barrenechea;Galería Inés Barrenechea;General Arrando , 34;28010;Spain;40.431665200000;-3.693879200000;Madrid
Galería Heinrich Ehrhardt;Galería Heinrich Ehrhardt;San Lorenzo, 11;28004;Spain;40.425252000000;-3.698520000000;Madrid
Galería Guillermo de Osma;Galería Guillermo de Osma;de Claudio Coello, 4, 1º izq.;28001;Spain;40.420867971153;-3.687117397785;Madrid
Roca Madrid Gallery;Roca Madrid Gallery;de José Abascal, 57;28003;Spain;40.438275600000;-3.693182200000;Madrid
Galería Gaudí;Galería Gaudí;García de Paredes, 76;28010;Spain;40.436601564176;-3.694174289703;Madrid
Fundación Loewe;Fundación Loewe;Gran Vía, 8;28013;Spain;40.419552500000;-3.698379500000;Madrid
Formato Cómodo;Formato Cómodo;de Lope de Vega, 5;28014;Spain;40.413915719543;-3.698428273201;Madrid
Galería Fernández-Braso;Galería Fernández-Braso;de Villanueva, 30;28001;Spain;40.422193197687;-3.685006499291;Madrid
Espacio Valverde;Espacio Valverde;de Valverde, 30;28004;Spain;40.422566870096;-3.701587915421;Madrid
Galería Elvira González;Galería Elvira González;Hermanos Alvárez Quintero , 1;28004;Spain;40.427287623619;-3.697569966316;Madrid
Galería Elba Benítez;Galería Elba Benítez;San Lorenzo, 11;28004;Spain;40.425041631686;-3.698699176312;Madrid
Centro Persépolis;Centro Persépolis;de Santa María, 20;28014;Spain;40.412942612479;-3.697757720947;Madrid
Centro Cultural Coreano en España;Centro Cultural Coreano en España;de la Castellana, 15;28046;Spain;40.428316671232;-3.690209984779;Madrid
Galería Casado Santapau;Galería Casado Santapau;Piamonte, 10;28004;Spain;40.423071222461;-3.695294111967;Madrid
Blanca Soto Arte;Blanca Soto Arte;de Almadén, 13;28014;Spain;40.411146973468;-3.694343268871;Madrid
Blanca Berlín Galería;Blanca Berlín Galería;del Limón, 28;28015;Spain;40.427085487416;-3.710162937641;Madrid
Benveniste Contemporary;Benveniste Contemporary;Nicolás Morales, 37;28019;Spain;40.390765640773;-3.732382357121;Madrid
Galería BAT Alberto Cornejo;Galería BAT Alberto Cornejo;María de Guzmán , 61;28003;Spain;40.444055300000;-3.696243200000;Madrid
Astarté Iniciativas Artísticas;Astarté Iniciativas Artísticas;del Monte Esquinza, 8;28010;Spain;40.427103863460;-3.692133128643;Madrid
Espacio Artkunstarte;Espacio Artkunstarte;de Juan de Mena, 12;28014;Spain;40.417238779187;-3.689868673682;Madrid
álvaro Alcázar Galería de Arte;Galería de arte álvaro Alcázar;Ferrer del Río, 5;28001;Spain;40.426430071914;-3.681468665600;Madrid
Sala Alcalá 31 de la Comunidad de Madrid;Sala Alcalá 31 de la Comunidad de Madrid;de Alcalá, 31;28014;Spain;40.418500200000;-3.698366500000;Madrid
Olivar de Castillejo ;Olivar de Castillejo ;Menéndez Pidal, 3;28036;Spain;40.459072400000;-3.682977600000;Madrid
La Neomudéjar;La Neomudéjar;Antonio Nebrija, s/n;28007;Spain;40.404150314755;-3.684067726135;Madrid
La Fábrica Galería;La Fábrica Galería;de la Alameda, 9;28014;Spain;40.411733100000;-3.693751500000;Madrid
Galería Michel Soskine;Galería Michel Soskine;General Castaños, 9;28004;Spain;40.425510200000;-3.693961600000;Madrid
"Intermedi&aelig; (Matadero)";"Intermedi&aelig; (Matadero)";de la Chopera, 14;28045;Spain;40.392695118074;-3.697865009308;Madrid
Casa del Lector (Matadero);Casa del Lector (Matadero);de la Chopera, 14;28045;Spain;40.391663482773;-3.697588741779;Madrid
Naves del Español en Matadero;Naves del Español en Matadero ;de la Chopera, 14;28045;Spain;40.391820782642;-3.697409033775;Madrid
Cineteca (Matadero);Cineteca Madrid;de Legazpi, 8;28045;Spain;40.391530696884;-3.696389794350;Madrid
Central de diseño (Matadero);Central de diseño (Matadero);de la Chopera, 14;28045;Spain;40.392306979915;-3.697430491447;Madrid
Nave 0 (Matadero);Nave 0 (Matadero);de Legazpi , 8;28045;Spain;40.391973600000;-3.697861400000;Madrid
Apetit'Oh!;Apetit'Oh!;de Seco, 14;28007;Spain;40.398101000000;-3.673030600000;Madrid
Le Cordon Bleu;Le Cordon Bleu;Pozuelo - Majadahonda (M 515),  Km. 1,800;28223;Spain;40.439884206358;-3.833327293396;Pozuelo de Alarcón
Sueños de cocina;Sueños de cocina;Luis de Salazar, 8;28002;Spain;40.447379788330;-3.666941821575;Madrid
